"Story","Title","Result","Date","Stability","Duration (s)"
"Adicionar projeto inicial","Efetuar login com sucesso inicial alterando primeira senha","SUCCESS","2020-12-09T17:26:35.702-03:00[America/Sao_Paulo]","0.0","20.77"
"Adicionar projeto inicial","Crio um projeto inicial","SUCCESS","2020-12-09T17:26:57.171-03:00[America/Sao_Paulo]","0.0","25.24"
"Adicionar projeto inicial","Tornar projeto inicial o padrao","SUCCESS","2020-12-09T17:27:23.094-03:00[America/Sao_Paulo]","0.0","20.2"
"Adicionar projeto inicial","Crio um projeto extra","SUCCESS","2020-12-09T17:27:43.968-03:00[America/Sao_Paulo]","0.0","16.45"
"Criar nova tarefa","Crio uma nova tarefa","SUCCESS","2020-12-09T17:28:02.9-03:00[America/Sao_Paulo]","0.0","19.87"
"Criar nova tarefa","Apagar tarefa criada","SUCCESS","2020-12-09T17:28:23.47-03:00[America/Sao_Paulo]","0.0","23.03"
"Criar nova tarefa","adicionar relacionamento entre tarefas","SUCCESS","2020-12-09T17:28:47.179-03:00[America/Sao_Paulo]","0.0","30.26"
"Criar nova tarefa","clonar tarefa","SUCCESS","2020-12-09T17:29:18.144-03:00[America/Sao_Paulo]","0.0","22.68"
"Criar nova tarefa","fechar tarefa","SUCCESS","2020-12-09T17:29:41.538-03:00[America/Sao_Paulo]","0.0","20.08"
"Gerenciar Marcadores","Crio um novo Campo Personalizado","SUCCESS","2020-12-09T17:30:03.765-03:00[America/Sao_Paulo]","0.0","18.99"
"Gerenciar Marcadores","Apago um Campo Personalizado criado","SUCCESS","2020-12-09T17:30:23.446-03:00[America/Sao_Paulo]","0.0","15.74"
"Gerenciar Marcadores","Crio Campo Personalizado Repetido","SUCCESS","2020-12-09T17:30:39.876-03:00[America/Sao_Paulo]","0.0","12.65"
"Criar Categorias Globais","Crio uma nova categoria global","SUCCESS","2020-12-09T17:30:54.244-03:00[America/Sao_Paulo]","0.0","12.38"
"Criar Categorias Globais","Crio e edito uma nova categoria global em um projeto em edição","SUCCESS","2020-12-09T17:31:07.329-03:00[America/Sao_Paulo]","0.0","21.91"
"Criar Categorias Globais","crio categoria global pelo botao adicionar e editar","SUCCESS","2020-12-09T17:31:29.924-03:00[America/Sao_Paulo]","0.0","12.39"
"Criar Categorias Globais","Apagar categoria global","SUCCESS","2020-12-09T17:31:43.005-03:00[America/Sao_Paulo]","0.0","14.13"
"Criar Categorias Globais","Atribuir usuario a categoria global","SUCCESS","2020-12-09T17:31:57.837-03:00[America/Sao_Paulo]","0.0","14.4"
"Gerenciar Marcadores","Crio um novo Marcador","SUCCESS","2020-12-09T17:32:13.585-03:00[America/Sao_Paulo]","0.0","12.77"
"Gerenciar Marcadores","Apago um novo Marcador criado","SUCCESS","2020-12-09T17:32:27.045-03:00[America/Sao_Paulo]","0.0","16.24"
"Gerenciar Marcadores","atualizar um Marcador","SUCCESS","2020-12-09T17:32:43.959-03:00[America/Sao_Paulo]","0.0","16.68"
"Gerenciar Perfis Globais","Crio um novo Perfil Global","SUCCESS","2020-12-09T17:33:01.798-03:00[America/Sao_Paulo]","0.0","13.8"
"Gerenciar Perfis Globais","Apagar Perfil Global","SUCCESS","2020-12-09T17:33:16.275-03:00[America/Sao_Paulo]","0.0","19.57"
"Criar novo projeto","Crio um novo projeto","SUCCESS","2020-12-09T17:33:36.851-03:00[America/Sao_Paulo]","0.0","14.19"
"Criar novo projeto","apago um novo projeto criado","SUCCESS","2020-12-09T17:33:51.729-03:00[America/Sao_Paulo]","0.0","23.79"
"Criar novo projeto","crio um  novo subprojeto para um projeto criado","SUCCESS","2020-12-09T17:34:16.223-03:00[America/Sao_Paulo]","0.0","23.52"
"Criar novo projeto","editar um projeto criado","SUCCESS","2020-12-09T17:34:40.42-03:00[America/Sao_Paulo]","0.0","24.7"
"Criar novo projeto","adiciono um novo subprojeto","SUCCESS","2020-12-09T17:35:05.791-03:00[America/Sao_Paulo]","0.0","21.92"
"Criar novo projeto","desvincular um subprojeto","SUCCESS","2020-12-09T17:35:28.394-03:00[America/Sao_Paulo]","0.0","24.54"
"Criar novo projeto","apagar projeto que possua um subprojeto","SUCCESS","2020-12-09T17:35:53.608-03:00[America/Sao_Paulo]","0.0","24.51"
"Criar novo projeto","adiciono versao ao projeto","SUCCESS","2020-12-09T17:36:18.795-03:00[America/Sao_Paulo]","0.0","19.5"
"Criar novo projeto","adiciono e altero a versao do projeto","SUCCESS","2020-12-09T17:36:38.998-03:00[America/Sao_Paulo]","0.0","22.46"
"Criar novo projeto","apago versao do projeto","SUCCESS","2020-12-09T17:37:02.132-03:00[America/Sao_Paulo]","0.0","22.49"
"Criar novo usuario","Crio um novo usuario pelo gerenciar usuarios","SUCCESS","2020-12-09T17:37:26.548-03:00[America/Sao_Paulo]","0.0","20.04"
"Criar novo usuario","Crio um novo usuario pelo botao convidar usuario","SUCCESS","2020-12-09T17:37:47.287-03:00[America/Sao_Paulo]","0.0","20.59"
"Login","Efetuar login com sucesso utilizando javascript","SUCCESS","2020-12-09T17:38:08.951-03:00[America/Sao_Paulo]","0.0","9.22"
"Login","Efetuar login com sucesso","SUCCESS","2020-12-09T17:38:19.04-03:00[America/Sao_Paulo]","0.0","9.41"
"Login","Efetuar login sem preencher usuario","SUCCESS","2020-12-09T17:38:29.15-03:00[America/Sao_Paulo]","0.0","7.94"
"Login","Efetuar login errado","SUCCESS","2020-12-09T17:38:37.766-03:00[America/Sao_Paulo]","0.0","28.95"
"Navegar pelas abas no menu pricipal","verificar aba minha visão","SUCCESS","2020-12-09T17:39:08.279-03:00[America/Sao_Paulo]","0.0","10.64"
