"Story","Title","Result","Date","Stability","Duration (s)"
"Criar novo projeto","Crio um novo projeto","SUCCESS","2020-12-15T21:13:27.072-03:00[America/Sao_Paulo]","0.0","13.55"
"Criar novo projeto","apago um novo projeto criado","SUCCESS","2020-12-15T21:13:41.401-03:00[America/Sao_Paulo]","0.0","23.12"
"Criar novo projeto","crio um  novo subprojeto para um projeto criado","SUCCESS","2020-12-15T21:14:05.196-03:00[America/Sao_Paulo]","0.0","22.5"
"Criar novo projeto","editar um projeto criado","SUCCESS","2020-12-15T21:14:28.379-03:00[America/Sao_Paulo]","0.0","23.74"
"Criar novo projeto","adiciono um novo subprojeto","SUCCESS","2020-12-15T21:14:52.803-03:00[America/Sao_Paulo]","0.0","21.31"
"Criar novo projeto","desvincular um subprojeto","SUCCESS","2020-12-15T21:15:14.787-03:00[America/Sao_Paulo]","0.0","23.53"
"Criar novo projeto","apagar projeto que possua um subprojeto","SUCCESS","2020-12-15T21:15:39.006-03:00[America/Sao_Paulo]","0.0","23.57"
"Criar novo projeto","adiciono versao ao projeto","SUCCESS","2020-12-15T21:16:03.256-03:00[America/Sao_Paulo]","0.0","18.8"
"Criar novo projeto","adiciono e altero a versao do projeto","SUCCESS","2020-12-15T21:16:22.733-03:00[America/Sao_Paulo]","0.0","21.63"
"Criar novo projeto","apago versao do projeto","SUCCESS","2020-12-15T21:16:45.053-03:00[America/Sao_Paulo]","0.0","22.11"
