"Story","Title","Result","Date","Stability","Duration (s)"
"Navegar pelas abas no menu pricipal","verificar aba minha visão","SUCCESS","2021-01-23T19:07:00.999-03:00[America/Sao_Paulo]","0.0","12.54"
"Navegar pelas abas no menu pricipal","verificar aba ver tarefas","SUCCESS","2021-01-23T19:07:13.538-03:00[America/Sao_Paulo]","0.0","12.39"
"Navegar pelas abas no menu pricipal","verificar aba criar tarefa","SUCCESS","2021-01-23T19:07:25.932-03:00[America/Sao_Paulo]","0.0","12.58"
"Navegar pelas abas no menu pricipal","verificar aba registro de mudancas","SUCCESS","2021-01-23T19:07:38.518-03:00[America/Sao_Paulo]","0.0","12.57"
"Navegar pelas abas no menu pricipal","verificar aba planejamento","SUCCESS","2021-01-23T19:07:51.093-03:00[America/Sao_Paulo]","0.0","12.53"
"Navegar pelas abas no menu pricipal","verificar aba resumo","SUCCESS","2021-01-23T19:08:03.628-03:00[America/Sao_Paulo]","0.0","12.46"
"Navegar pelas abas no menu pricipal","verificar aba gerenciar","SUCCESS","2021-01-23T19:08:16.088-03:00[America/Sao_Paulo]","0.0","12.37"
"Navegar pelas abas no menu pricipal","Navegar por abas","SUCCESS","2021-01-23T19:08:28.464-03:00[America/Sao_Paulo]","0.0","18.28"
"Navegar pelas abas no menu pricipal","Navegar por abas apos diminuir a bandeja","SUCCESS","2021-01-23T19:08:46.749-03:00[America/Sao_Paulo]","0.0","19.29"
"Navegar pelas abas no menu pricipal","verificar aba Usuários da tela de gerenciar","SUCCESS","2021-01-23T19:09:06.041-03:00[America/Sao_Paulo]","0.0","12.83"
"Navegar pelas abas no menu pricipal","verificar aba projetos da tela de gerenciar","SUCCESS","2021-01-23T19:09:18.869-03:00[America/Sao_Paulo]","0.0","13.37"
"Navegar pelas abas no menu pricipal","verificar aba Marcadores da tela de gerenciar","SUCCESS","2021-01-23T19:09:32.236-03:00[America/Sao_Paulo]","0.0","13.24"
"Navegar pelas abas no menu pricipal","verificar aba Campos Personalizados da tela de gerenciar","SUCCESS","2021-01-23T19:09:45.475-03:00[America/Sao_Paulo]","0.0","13.36"
"Navegar pelas abas no menu pricipal","verificar aba Perfís Globais da tela de gerenciar","SUCCESS","2021-01-23T19:09:58.835-03:00[America/Sao_Paulo]","0.0","13.49"
"Navegar pelas abas no menu pricipal","verificar aba Plugins da tela de gerenciar","SUCCESS","2021-01-23T19:10:12.324-03:00[America/Sao_Paulo]","0.0","13.48"
"Navegar pelas abas no menu pricipal","verificar aba Configuração da tela de gerenciar","SUCCESS","2021-01-23T19:10:25.807-03:00[America/Sao_Paulo]","0.0","13.51"
"Navegar pelas abas no menu pricipal","verificar aba Informação do Site da tela de gerenciar","SUCCESS","2021-01-23T19:10:39.322-03:00[America/Sao_Paulo]","0.0","13.45"
"Navegar pelas abas no menu pricipal","Navegar por abas da tela de gerenciar","SUCCESS","2021-01-23T19:10:52.771-03:00[America/Sao_Paulo]","0.0","20.0"
