"Story","Title","Result","Date","Stability","Duration (s)"
"Navegar pelas abas no menu pricipal","verificar aba minha visão","SUCCESS","2020-12-15T21:52:19.997-03:00[America/Sao_Paulo]","0.0","10.09"
"Navegar pelas abas no menu pricipal","verificar aba ver tarefas","SUCCESS","2020-12-15T21:52:30.759-03:00[America/Sao_Paulo]","0.0","10.28"
"Navegar pelas abas no menu pricipal","verificar aba criar tarefa","SUCCESS","2020-12-15T21:52:41.756-03:00[America/Sao_Paulo]","0.0","10.28"
"Navegar pelas abas no menu pricipal","verificar aba registro de mudancas","SUCCESS","2020-12-15T21:52:52.758-03:00[America/Sao_Paulo]","0.0","10.1"
"Navegar pelas abas no menu pricipal","verificar aba planejamento","SUCCESS","2020-12-15T21:53:03.552-03:00[America/Sao_Paulo]","0.0","10.02"
"Navegar pelas abas no menu pricipal","verificar aba resumo","SUCCESS","2020-12-15T21:53:14.252-03:00[America/Sao_Paulo]","0.0","10.15"
"Navegar pelas abas no menu pricipal","verificar aba gerenciar","SUCCESS","2020-12-15T21:53:25.073-03:00[America/Sao_Paulo]","0.0","10.04"
"Navegar pelas abas no menu pricipal","Navegar por abas","SUCCESS","2020-12-15T21:53:35.909-03:00[America/Sao_Paulo]","0.0","15.57"
"Navegar pelas abas no menu pricipal","Navegar por abas apos diminuir a bandeja","SUCCESS","2020-12-15T21:53:52.183-03:00[America/Sao_Paulo]","0.0","16.45"
"Navegar pelas abas no menu pricipal","verificar aba Usuários da tela de gerenciar","SUCCESS","2020-12-15T21:54:09.325-03:00[America/Sao_Paulo]","0.0","10.59"
"Navegar pelas abas no menu pricipal","verificar aba projetos da tela de gerenciar","SUCCESS","2020-12-15T21:54:20.618-03:00[America/Sao_Paulo]","0.0","10.94"
"Navegar pelas abas no menu pricipal","verificar aba Marcadores da tela de gerenciar","SUCCESS","2020-12-15T21:54:32.258-03:00[America/Sao_Paulo]","0.0","10.99"
"Navegar pelas abas no menu pricipal","verificar aba Campos Personalizados da tela de gerenciar","SUCCESS","2020-12-15T21:54:43.929-03:00[America/Sao_Paulo]","0.0","10.95"
"Navegar pelas abas no menu pricipal","verificar aba Perfís Globais da tela de gerenciar","SUCCESS","2020-12-15T21:54:55.559-03:00[America/Sao_Paulo]","0.0","11.01"
"Navegar pelas abas no menu pricipal","verificar aba Plugins da tela de gerenciar","SUCCESS","2020-12-15T21:55:07.254-03:00[America/Sao_Paulo]","0.0","11.18"
"Navegar pelas abas no menu pricipal","verificar aba Configuração da tela de gerenciar","SUCCESS","2020-12-15T21:55:19.131-03:00[America/Sao_Paulo]","0.0","11.05"
"Navegar pelas abas no menu pricipal","verificar aba Informação do Site da tela de gerenciar","SUCCESS","2020-12-15T21:55:30.878-03:00[America/Sao_Paulo]","0.0","11.03"
"Navegar pelas abas no menu pricipal","Navegar por abas da tela de gerenciar","SUCCESS","2020-12-15T21:55:42.601-03:00[America/Sao_Paulo]","0.0","17.04"
