"Story","Title","Result","Date","Stability","Duration (s)"
"Navegar pelas abas no menu pricipal","verificar aba minha visão","SUCCESS","2020-12-15T21:19:35.08-03:00[America/Sao_Paulo]","0.0","10.11"
"Navegar pelas abas no menu pricipal","verificar aba ver tarefas","SUCCESS","2020-12-15T21:19:45.889-03:00[America/Sao_Paulo]","0.0","10.16"
"Navegar pelas abas no menu pricipal","verificar aba criar tarefa","SUCCESS","2020-12-15T21:19:56.737-03:00[America/Sao_Paulo]","0.0","10.15"
"Navegar pelas abas no menu pricipal","verificar aba registro de mudancas","SUCCESS","2020-12-15T21:20:07.572-03:00[America/Sao_Paulo]","0.0","10.1"
"Navegar pelas abas no menu pricipal","verificar aba planejamento","SUCCESS","2020-12-15T21:20:18.36-03:00[America/Sao_Paulo]","0.0","10.3"
"Navegar pelas abas no menu pricipal","verificar aba resumo","SUCCESS","2020-12-15T21:20:29.359-03:00[America/Sao_Paulo]","0.0","10.11"
"Navegar pelas abas no menu pricipal","verificar aba gerenciar","SUCCESS","2020-12-15T21:20:40.163-03:00[America/Sao_Paulo]","0.0","10.17"
"Navegar pelas abas no menu pricipal","Navegar por abas","SUCCESS","2020-12-15T21:20:51.012-03:00[America/Sao_Paulo]","0.0","15.72"
"Navegar pelas abas no menu pricipal","Navegar por abas apos diminuir a bandeja","SUCCESS","2020-12-15T21:21:07.434-03:00[America/Sao_Paulo]","0.0","16.47"
"Navegar pelas abas no menu pricipal","verificar aba Usuários da tela de gerenciar","SUCCESS","2020-12-15T21:21:24.609-03:00[America/Sao_Paulo]","0.0","10.77"
"Navegar pelas abas no menu pricipal","verificar aba projetos da tela de gerenciar","SUCCESS","2020-12-15T21:21:36.059-03:00[America/Sao_Paulo]","0.0","11.08"
"Navegar pelas abas no menu pricipal","verificar aba Marcadores da tela de gerenciar","SUCCESS","2020-12-15T21:21:47.849-03:00[America/Sao_Paulo]","0.0","10.98"
"Navegar pelas abas no menu pricipal","verificar aba Campos Personalizados da tela de gerenciar","SUCCESS","2020-12-15T21:21:59.508-03:00[America/Sao_Paulo]","0.0","12.39"
"Navegar pelas abas no menu pricipal","verificar aba Perfís Globais da tela de gerenciar","SUCCESS","2020-12-15T21:22:13.076-03:00[America/Sao_Paulo]","0.0","12.22"
"Navegar pelas abas no menu pricipal","verificar aba Plugins da tela de gerenciar","SUCCESS","2020-12-15T21:22:26.098-03:00[America/Sao_Paulo]","0.0","12.81"
"Navegar pelas abas no menu pricipal","verificar aba Configuração da tela de gerenciar","SUCCESS","2020-12-15T21:22:39.618-03:00[America/Sao_Paulo]","0.0","11.41"
"Navegar pelas abas no menu pricipal","verificar aba Informação do Site da tela de gerenciar","SUCCESS","2020-12-15T21:22:51.71-03:00[America/Sao_Paulo]","0.0","10.91"
"Navegar pelas abas no menu pricipal","Navegar por abas da tela de gerenciar","SUCCESS","2020-12-15T21:23:03.307-03:00[America/Sao_Paulo]","0.0","17.34"
