"Story","Title","Result","Date","Stability","Duration (s)"
"Criar nova tarefa","Crio uma nova tarefa","SUCCESS","2021-01-23T18:54:17.51-03:00[America/Sao_Paulo]","0.0","23.14"
"Criar nova tarefa","Apagar tarefa criada","SUCCESS","2021-01-23T18:54:40.665-03:00[America/Sao_Paulo]","0.0","25.04"
"Criar nova tarefa","adicionar relacionamento entre tarefas","SUCCESS","2021-01-23T18:55:05.714-03:00[America/Sao_Paulo]","0.0","32.19"
"Criar nova tarefa","clonar tarefa","SUCCESS","2021-01-23T18:55:37.907-03:00[America/Sao_Paulo]","0.0","24.9"
"Criar nova tarefa","fechar tarefa","SUCCESS","2021-01-23T18:56:02.821-03:00[America/Sao_Paulo]","0.0","24.93"
"Gerenciar Marcadores","Crio um novo Campo Personalizado","SUCCESS","2021-01-23T18:56:30.317-03:00[America/Sao_Paulo]","0.0","20.86"
"Gerenciar Marcadores","Apago um Campo Personalizado criado","SUCCESS","2021-01-23T18:56:51.176-03:00[America/Sao_Paulo]","0.0","17.51"
"Gerenciar Marcadores","Crio Campo Personalizado Repetido","SUCCESS","2021-01-23T18:57:08.691-03:00[America/Sao_Paulo]","0.0","23.28"
"Gerenciar Categorias Globais","Crio uma nova categoria global","SUCCESS","2021-01-23T18:57:32.659-03:00[America/Sao_Paulo]","0.0","28.45"
"Gerenciar Categorias Globais","Crio e edito uma nova categoria global em um projeto em edição","SUCCESS","2021-01-23T18:58:01.117-03:00[America/Sao_Paulo]","0.0","23.9"
"Gerenciar Categorias Globais","crio categoria global pelo botao adicionar e editar","SUCCESS","2021-01-23T18:58:25.017-03:00[America/Sao_Paulo]","0.0","14.33"
"Gerenciar Categorias Globais","Apagar categoria global","SUCCESS","2021-01-23T18:58:39.343-03:00[America/Sao_Paulo]","0.0","16.07"
"Gerenciar Categorias Globais","Atribuir usuario a categoria global","SUCCESS","2021-01-23T18:58:55.414-03:00[America/Sao_Paulo]","0.0","16.3"
"Gerenciar Marcadores","Crio um novo Marcador","SUCCESS","2021-01-23T18:59:13.373-03:00[America/Sao_Paulo]","0.0","14.37"
"Gerenciar Marcadores","Apago um novo Marcador criado","SUCCESS","2021-01-23T18:59:27.747-03:00[America/Sao_Paulo]","0.0","18.43"
"Gerenciar Marcadores","atualizar um Marcador","SUCCESS","2021-01-23T18:59:46.176-03:00[America/Sao_Paulo]","0.0","17.76"
"Gerenciar Perfis Globais","Crio um novo Perfil Global","SUCCESS","2021-01-23T19:00:04.465-03:00[America/Sao_Paulo]","0.0","15.3"
"Gerenciar Perfis Globais","Apagar Perfil Global","SUCCESS","2021-01-23T19:00:19.762-03:00[America/Sao_Paulo]","0.0","24.75"
"Criar novo projeto","Crio um novo projeto","SUCCESS","2021-01-23T19:00:45.272-03:00[America/Sao_Paulo]","0.0","15.85"
"Criar novo projeto","apago um novo projeto criado","SUCCESS","2021-01-23T19:01:01.125-03:00[America/Sao_Paulo]","0.0","25.59"
"Criar novo projeto","crio um  novo subprojeto para um projeto criado","SUCCESS","2021-01-23T19:01:26.717-03:00[America/Sao_Paulo]","0.0","25.49"
"Criar novo projeto","editar um projeto criado","SUCCESS","2021-01-23T19:01:52.209-03:00[America/Sao_Paulo]","0.0","40.87"
"Criar novo projeto","adiciono um novo subprojeto","SUCCESS","2021-01-23T19:02:33.084-03:00[America/Sao_Paulo]","0.0","33.76"
"Criar novo projeto","desvincular um subprojeto","SUCCESS","2021-01-23T19:03:06.846-03:00[America/Sao_Paulo]","0.0","26.44"
"Criar novo projeto","apagar projeto que possua um subprojeto","SUCCESS","2021-01-23T19:03:33.287-03:00[America/Sao_Paulo]","0.0","26.0"
"Criar novo projeto","adiciono versao ao projeto","SUCCESS","2021-01-23T19:03:59.293-03:00[America/Sao_Paulo]","0.0","21.6"
"Criar novo projeto","adiciono e altero a versao do projeto","SUCCESS","2021-01-23T19:04:20.893-03:00[America/Sao_Paulo]","0.0","24.43"
"Criar novo projeto","apago versao do projeto","SUCCESS","2021-01-23T19:04:45.323-03:00[America/Sao_Paulo]","0.0","24.63"
"Criar novo usuario","Crio um novo usuario pelo gerenciar usuarios","SUCCESS","2021-01-23T19:05:11.382-03:00[America/Sao_Paulo]","0.0","21.87"
"Criar novo usuario","Crio um novo usuario pelo botao convidar usuario","SUCCESS","2021-01-23T19:05:33.251-03:00[America/Sao_Paulo]","0.0","20.59"
"Login","Efetuar login com sucesso utilizando javascript","SUCCESS","2021-01-23T19:05:54.303-03:00[America/Sao_Paulo]","0.0","11.26"
"Login","Efetuar login com sucesso","SUCCESS","2021-01-23T19:06:05.565-03:00[America/Sao_Paulo]","0.0","11.41"
"Login","Efetuar login sem preencher usuario","SUCCESS","2021-01-23T19:06:16.978-03:00[America/Sao_Paulo]","0.0","9.98"
"Login","Efetuar login errado","SUCCESS","2021-01-23T19:06:26.958-03:00[America/Sao_Paulo]","0.0","32.51"
"Navegar pelas abas no menu pricipal","verificar aba minha visão","SUCCESS","2021-01-23T19:07:00.999-03:00[America/Sao_Paulo]","0.0","12.54"
"Navegar pelas abas no menu pricipal","verificar aba ver tarefas","SUCCESS","2021-01-23T19:07:13.538-03:00[America/Sao_Paulo]","0.0","12.39"
"Navegar pelas abas no menu pricipal","verificar aba criar tarefa","SUCCESS","2021-01-23T19:07:25.932-03:00[America/Sao_Paulo]","0.0","12.58"
"Navegar pelas abas no menu pricipal","verificar aba registro de mudancas","SUCCESS","2021-01-23T19:07:38.518-03:00[America/Sao_Paulo]","0.0","12.57"
"Navegar pelas abas no menu pricipal","verificar aba planejamento","SUCCESS","2021-01-23T19:07:51.093-03:00[America/Sao_Paulo]","0.0","12.53"
"Navegar pelas abas no menu pricipal","verificar aba resumo","SUCCESS","2021-01-23T19:08:03.628-03:00[America/Sao_Paulo]","0.0","12.46"
"Navegar pelas abas no menu pricipal","verificar aba gerenciar","SUCCESS","2021-01-23T19:08:16.088-03:00[America/Sao_Paulo]","0.0","12.37"
"Navegar pelas abas no menu pricipal","Navegar por abas","SUCCESS","2021-01-23T19:08:28.464-03:00[America/Sao_Paulo]","0.0","18.28"
"Navegar pelas abas no menu pricipal","Navegar por abas apos diminuir a bandeja","SUCCESS","2021-01-23T19:08:46.749-03:00[America/Sao_Paulo]","0.0","19.29"
"Navegar pelas abas no menu pricipal","verificar aba Usuários da tela de gerenciar","SUCCESS","2021-01-23T19:09:06.041-03:00[America/Sao_Paulo]","0.0","12.83"
"Navegar pelas abas no menu pricipal","verificar aba projetos da tela de gerenciar","SUCCESS","2021-01-23T19:09:18.869-03:00[America/Sao_Paulo]","0.0","13.37"
"Navegar pelas abas no menu pricipal","verificar aba Marcadores da tela de gerenciar","SUCCESS","2021-01-23T19:09:32.236-03:00[America/Sao_Paulo]","0.0","13.24"
"Navegar pelas abas no menu pricipal","verificar aba Campos Personalizados da tela de gerenciar","SUCCESS","2021-01-23T19:09:45.475-03:00[America/Sao_Paulo]","0.0","13.36"
"Navegar pelas abas no menu pricipal","verificar aba Perfís Globais da tela de gerenciar","SUCCESS","2021-01-23T19:09:58.835-03:00[America/Sao_Paulo]","0.0","13.49"
"Navegar pelas abas no menu pricipal","verificar aba Plugins da tela de gerenciar","SUCCESS","2021-01-23T19:10:12.324-03:00[America/Sao_Paulo]","0.0","13.48"
"Navegar pelas abas no menu pricipal","verificar aba Configuração da tela de gerenciar","SUCCESS","2021-01-23T19:10:25.807-03:00[America/Sao_Paulo]","0.0","13.51"
